,article,name,picture,tag,time,title,url
0,"Иммунолог Крючков предупредил россиян о новых пандемиях коронавируса и оспы обезьян Пандемия коронавируса, несмотря на общее мнение, не завершилась, рост заболеваемости стоит ожидать осенью и зимой текущего года, предупредил иммунолог  . Он добавил, что не исключены мутации вируса в сторону большей патогенности. То же касается и оспы обезьян, которая уже вызывает опасения ученых из-за рекордных темпов мутации. Крючков предупредил россиян о новых пандемиях в разговоре с «Лентой.ру». Президент США     Конгресс готовиться к новой пандемии и планировать бюджет, учитывая последствия коронавируса. Об этом политик заявил в ходе выступления о применении вакцины от COVID-19 для детей до пяти лет. Крючков уверен, что опасения американского лидера не напрасны: пандемия коронавируса все еще не закончилась, кроме того, человечеству угрожают и другие опасные вирусы. «С учетом риска обострения заболеваемости коронавирусом осенью и зимой России тоже необходимо учитывать этот сценарий в бюджете. На очереди у нас еще и грипп, который вряд ли принесет пандемию, но все равно сделает сезон достаточно тяжелым. Есть и другие кандидаты на пандемию, так что готовиться надо ко всему и рассматривать даже самые худшие, пессимистичные сценарии», — рекомендовал иммунолог. Несмотря на то, что пока мировое сообщество не видит особенной угрозы в оспе обезьян, Крючков рассказал, что опасения ученых уже вызывают рекордные темпы мутации вируса. Не исключено, что при очередном изменении он может стать более смертоносным, а скорость его распространения увеличится. «Пока никаких критических мутаций, связанных с появлением опасных свойств, не обнаружено, но сама скорость мутации аномальная. Вирус мутирует в несколько раз быстрее, чем во время предыдущих вспышек. Это связано с тем, что он заражает большое количество людей за пределами Африки, а эффективность мутации, как мы знаем, напрямую зависит от количества заражаемых», — напомнил Крючков. Поле для мутаций оспы обезьян, по его словам, постоянно расширяется, а скорость возрастает. При сохранении этих темпов вероятно появление мутации, которая окажется более заразной и патогенной. Последняя мутация коронавируса, омикрон-штамм, стала наименее патогенной, что логично успокоило большинство людей и вселило веру в то, что смертоносная пандемия осталась позади. Крючков убежден, что оснований для безусловного оптимизма еще нет. «Прежде всего, на индивидуальном уровне в случае коронавируса есть одна очень неприятная история: был опубликован анализ, из которого следует, что каждое последующее заражение человека приводит к все более высоким рискам. Считается, что этот вирус оставляет функциональный и органический след в организме, и с каждым новым заражением этот след только углубляется», — предупредил Крючков. Он добавил, что, несмотря на общее мнение, тенденции к снижению патогенности у коронавируса нет: менее опасным, чем предыдущие, стал только омикрон-штамм, это единичный случай, гарантии того, что такой тренд сохранится, отсутствуют. Даже если смертоносность вируса не увеличится, на популяционном уровне большую роль играет не патогенность, а именно заразность вируса. «Чем больше людей будут заражаться, тем больше смертей мы увидим в итоге, даже если процент пациентов с тяжелым течением окажется ниже. В любом случае, полную картину мы увидим в ближайший год. Есть большой смысл готовиться не к оптимистичному, а самому пессимистичному сценарию, чтобы быть начеку в случае возникновения проблем», — резюмировал иммунолог.",lenta-ru,https://icdn.lenta.ru/images/2022/06/22/16/20220622162613331/owl_detail_240_d3a749f305784da9de800c5aef503292.jpg,Россия,2022-06-23 07:04:00,Россиян предупредили о новых опасных пандемиях,https://lenta.ru/news/2022/06/23/smertoubijstvo/>
1,"Солист группы «Ласковый май» Юрий Шатунов скончался в 48 лет Бывший солист группы «Ласковый май»   скончался в  . Об этом «Ленте.ру» в четверг, 23 июня, сообщил директор исполнителя  , информацию также подтвердили два источника в медицинских кругах. Причиной смерти певца стал обширный инфаркт. Он умер ночью в машине скорой помощи. Шатунову было 48 лет. Юрий Шатунов родился в Башкирской АССР в 1973 году. Его родители развелись, когда ему было три года, а в 11 лет его мать умерла. Подростковые годы будущая звезда провела в детском доме, где познакомилась с  , руководителем кружка самодеятельности, — с этого момента началась история группы «Ласковый май». Кузнецов в те времена искал исполнителя для своих песен, и его выбор пал на Шатунова, хотя юноша не имел ни музыкального образования, ни какого-либо сильного желания заниматься пением. Тем не менее в октябре 1986 года Кузнецов написал для артиста первую песню «Вечер холодной зимы», а затем — «Метель в чужом городе». В конце 1980-х о юном музыканте прознал  , администратор группы «Мираж», в те времена обладавшей огромной популярностью в СССР. Он захотел сделать из Шатунова звезду всесоюзного масштаба и превратил «Ласковый май» в одну из самых популярных евро-дэнс-коллективов страны. Зимой 1989-1990-го группа дала 13 сольных концертов в спорткомплексе «Олимпийский» в Москве, все они прошли с аншлагом. Несмотря на огромную популярность «Ласкового мая», последующие композиции группы не имели успеха уровня «Белых роз» и «Седой ночи». В октябре 1991-го Шатунов покинул группу и занялся плодотворной сольной карьерой — его дискография насчитывает семь студийных альбомов и десятки музыкальных видеоклипов. Тем временем между ним и Разиным разразилась борьба за права на исполнение песен «Ласкового мая» — по словам последнего, Шатунов не мог петь свои старые хиты согласно условиям старого договора. В июне 2022 года продолжительная тяжба между Разиным и Шатуновым завершилась — экс-солисту группы удалось через суд вернуть права на исполнение главных хитов «Ласкового мая». Сам коллектив ныне продолжает концертную деятельность в обновленном составе. Юрий Шатунов стал суперзвездой в очень раннем возрасте, а его песни неизмеримо повлияли на формирование российской поп-сцены. Артист продолжал заниматься музыкой до конца своих дней — в 2019-м он выпустил альбом «Любимые песни», а в 2020-м презентовал еще три композиции —  «Спасибо Тебе», «Остановиться не могу» и «Заметает листья снег».",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/09/20220623091718441/owl_detail_240_c8c1cb3bc47940c2ce7e6efb488ec94e.jpg,Культура,2022-06-23 10:57:00,Умер Юрий Шатунов,https://lenta.ru/news/2022/06/23/ushatunov/>
2,"Reuters: американский бренд Nike заявил об окончательном уходе из России Американский производитель спортивной одежды и обуви Nike окончательно уйдет с российского рынка на фоне ситуации с Украиной. Об этом сообщает агентство   со ссылкой на официальное электронное письмо компании. Причины такого решения не называются. Кроме того, журналисты не объявили точную дату закрытия магазинов указанной марки в стране. В мае сотрудник компании   «Ведомостям», что в связи с операционными сложностями Nike принял решение не продлевать существующие и не вступать в новые деловые взаимоотношения с российскими партнерами. При этом компания продолжала осуществлять все выплаты своим сотрудникам. Помимо этого, на тот момент российский офис Nike продолжал работать в привычном режиме. О приостановке продаж продукции российским покупателям также   испанская ретейл-компания Inditex, в состав которой входят массмаркетовые бренды Zara, Bershka, Pull & Bear, Oysho, Massimo Dutti и другие марки. Inditex полностью закрыла магазины и онлайн-продажу товаров в стране.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/14/20220623142925657/owl_detail_240_f7b2071bd418d61b271489f4ebcab80b.jpg,Ценности,2022-06-23 14:33:00,Nike уйдет с российского рынка,https://lenta.ru/news/2022/06/23/nikerynok/>
3,"Посол в России Мирошник заявил о взятии в блокаду Горского и Золотого в ЛНР Подразделения Народной милиции Луганской народной республики (НМ ЛНР) взяли под контроль два населенных пункта. Об этом сообщается в  -канале «Известий». Как сообщил корреспондент издания, силы НМ взяли под свой контроль города Горское и Золотое. Посол ЛНР в России   также  , что населенные пункты были взяты в блокаду, а находящиеся там украинские военные «уже подают сигналы о том, что готовы сдаваться союзным войскам в плен». Ранее помощник министра внутренних дел ЛНР    , что в Горском и Золотом были окружены около 1300 военнослужащих Вооруженных сил Украины (ВСУ) и наемников. Позднее в   ВСУ также   потерю контроля над поселком Лоскутовка и селом Рай-Александровка, расположенными южнее   и севернее Горского и Золотого.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/14/20220623144944418/owl_detail_240_dc677733cb9d108af9c834947c10e87d.jpg,Бывший СССР,2022-06-23 14:49:00,В ЛНР сообщили о взятии двух населенных пунктов,https://lenta.ru/news/2022/06/23/gorskoe_zolotoe/>
4,"В Конгресс США внесли законопроект о переобучении летчиков ВСУ на самолетах НАТО Член палаты представителей   от штата Иллинойс  республиканец   предложил переобучить летчиков Вооруженных сил Украины (ВСУ) для работы на самолетах альянса  . Данную инициативу конгрессмен внес в виде законопроекта в американский законодательный орган. Об этом он написал в личном  -аккаунте. «Это — пилоты Военно-воздушных сил Украины. Многие думали, что они выйдут из боя в первый же день... но они все еще сражаются. Я внес законопроект о переобучении их пилотированию на самолетах НАТО, чтобы они могли перейти на F-16 (многоцелевой истребитель американского производства — примечание ""Ленты.ру"")», — говорится в сообщении Кинзингера, к которому прикреплена фотография двух пилотов ВСУ. В мае Кинзингер   на рассмотрение в Конгресс проект резолюции о привлечении американских военных на Украину в случае, если Россия применит «химическое, биологическое или ядерное оружие в отношении Украины».",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623154923825/owl_detail_240_b360de364a0d1d0b899febe657e14e7a.jpg,Мир,2022-06-23 16:00:00,В Конгрессе США предложили переобучить летчиков ВСУ для работы на самолетах НАТО,https://lenta.ru/news/2022/06/23/us_jets_with_ukropilots/>
5,"Премьер Грузии заявил, что Тбилиси больше заслуживал статус кандидата в ЕС, чем Украина Грузия проделала на пути в   (ЕС) больший путь по сравнению с Украиной и Молдавией, она больше заслуживала статус кандидата на интеграцию. Об этом заявил премьер-министр республики  , пишет  . Политик объяснил решение   (ЕК), которая не согласилась наделить   соответствующим статусом, мировой конъюнктурой. Он подчеркнул, что не завидует успеху украинцев и молдаван, но и не считает позицию   справедливой. «Если кто-то из этих трех стран и заслуживал, то это были мы. (...) Во всем мире развиваются очень сложные процессы. Мы это должны принять спокойно и продолжать развитие, усиление нашей страны», — сказал Гарибашвили. Речь идет о решении ЕК, принятом 17 июня, когда комиссия согласилась рекомендовать соответствующий статус Украине и Молдавии. Грузия, которая более десяти лет претендует на этот статус, получить его не смогла. Гарибашвили неоднократно   это решение несправедливым. Ранее председатель правящей партии республики «Грузинская мечта»     решение Еврокомиссии «географическим фактором». Он указал, что Тбилиси обидно из-за позиции Брюсселя, но власти «понимают его».",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623155227169/owl_detail_240_b0a47483de2678b0ada37848f2e8945b.jpg,Бывший СССР,2022-06-23 16:04:00,Грузия заявила о больших заслугах на пути в ЕС по сравнению с Украиной,https://lenta.ru/news/2022/06/23/eu_georgia/>
6,"В группе «ЛизаАлерт» во «ВКонтакте» появился чат-бот для поиска людей и добровольцев Социальная сеть «ВКонтакте» совместно с телефонным   и отрядом «ЛизаАлерт» запустили чат-бота для поиска пропавших людей. Об этом стало известно из   соцсети. Чат-бот появится в официальном   поискового отряда во «ВКонтакте». Чтобы запустить бот, нужно написать ему слово «Привет». Робот может посоветовать, что делать при пропаже человека и как себя вести в экстренных ситуациях подобного рода. Помимо этого, в чат-бот могут писать желающие вступить добровольцами в отряд. «ЛизаАлерт» работает в разных регионах России. По данным соцсети, чат-бот позволит снизить нагрузку на горячую линию отряда. «Для нас жизненно важно постоянно развиваться, участвовать в системных партнерствах, привлекать опыт крупного бизнеса и возможности современных технологий», — заявил председатель «ЛизаАлерт»  . Ранее соцсеть «ВКонтакте»   новое мобильное приложение для безлимитных видеоконференций. Приложение, доступное для смартфонов на системах iOS и Android, представила платформа «VK Звонки». Для компьютеров новая функция доступна в отдельной веб-версии. Более того, подключиться к звонку можно без аккаунта в соцсети.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623152239426/owl_detail_240_1a80cd027299e90b303a681d44fe47de.jpg,Интернет и СМИ,2022-06-23 16:12:00,Во «ВКонтакте» появился чат-бот для поиска людей,https://lenta.ru/news/2022/06/23/vkkkk/>
7," С начала введения антироссийских санкций Китай стал рассматриваться в качестве нового главного партнера   на международной арене. От Пекина ждут помощи в преодолении ограничений, содействия в импорте и экспорте, а заодно видят в нем новый рынок сбыта для невостребованных на Западе российских товаров. Подобная риторика в последние месяцы характерна для чиновников, политиков и представителей крупного бизнеса. Однако китайцы предпочитают не высказываться или делают это уклончиво, ограничиваясь заявлениями об отказе поддерживать санкции. Между тем компании из азиатской страны сокращают сотрудничество с Россией, боясь оказаться под вторичными ограничениями. Братья навек — в материале «Ленты.ру». Первые из свежих антироссийских санкций   еще до начала объявленной президентом   спецоперации. Через несколько часов после признания независимости ДНР и ЛНР США ввели ограничения против финансирующих оборонную промышленность банков, детей чиновников высшего звена, а также запрет на операции с российским госдолгом на вторичном рынке. Вскоре власти Германии заморозили проект экспортного газопровода «Северный поток-2», обошедшийся   вместе с европейскими партнерами примерно в 10 миллиардов долларов и считавшийся одним из главных экономических и политических достижений Москвы последних лет. В дальнейшем к ограничениям    , Великобритания, Канада, Австралия, Япония и некоторые другие страны, среди которых была, например, и сильно зависящая от российского туризма Черногория. Санкции оказались гораздо разнообразнее тех, что были введены в 2014-м, и затронули множество секторов российской экономики: банки, энергетику, промышленность, транспорт. Под запрет   даже экспорт в Россию предметов роскоши, к которым относятся в том числе дорогие автомобили и продукция европейских домов моды. Неожиданностью для многих стал полный или частичный уход из России большого количества западных компаний: производителей и продавцов одежды, продуктов питания, IT-разработчиков, перевозчиков. Едва ли не самым болезненным   прекращение работы платежных систем   и Mastercard, серьезно затруднившее людям оплату зарубежных сервисов и поездки за границу, а предприятиям — расчеты с партнерами. Российским транспортным компаниям   работать в Европе, Великобритании, США и других странах, присоединившихся к санкциям. В шестой европейский санкционный пакет   частичное эмбарго на импорт российской нефти (из-под его действия вывели только трубопроводные поставки), активно обсуждался запрет на закупку газа. От последнего спасло только то, что многие страны ЕС слишком сильно — вплоть до 80 процентов — зависят от топлива из России. Но и они пообещали ускоренно искать другие источники поставок ради повышения собственной энергобезопасности. Сразу после обнародования первых ограничений российские комментаторы и официальные лица стали искать тех, кого можно назвать союзником в новых условиях. Министр иностранных дел   неоднократно  , что таких стран много и Россию не удастся изолировать от мировой экономики. Первым делом бизнесмены и чиновники вспоминали о странах СНГ и   (ЕАЭС), который нередко путают с его предшественником — Евразийским экономическим сообществом (ЕврАзЭс). Вместе с Россией в него входят Белоруссия, Казахстан, Армения и Киргизия. Также среди вероятных партнеров называли Иран, страны Африки и Южной Америки — с упором на Венесуэлу. Но главная роль неизменно отводилась Китаю. Он был центральной целью общего «поворота [российских экономики и политики] на Восток», начавшегося после введения первых санкций в 2014-м. Недавняя встреча руководителей двух стран — Владимира Путина и   — в Пекине перед началом зимней Олимпиады, где они оба   о стремлении оппонировать Западу и его гегемонии, казалась очередным подтверждением близкого к равноправию сотрудничества. Россия   в Китай пшеницу, топливо (в том числе через резонансный газопровод «Сила Сибири»), древесину, металлы,   участвовать в проекте «Один пояс — один путь»,   атомные электростанции. Китай в ответ   в российские заводы по производству сжиженного природного газа (СПГ), а также собирался   несколько инфраструктурных проектов на территории страны, среди которых высокоскоростная железнодорожная магистраль Москва —   и мост через реку Лену в  . Впрочем, оба объекта по-прежнему   от реализации (хотя строительство ВСМ из Москвы в Казань утвердили еще в 2013 году) — как и стоящий особняком совместный проект двух стран по строительству транспортного коридора «Европа — Западный Китай», воссоздающий древний Шелковый путь. Его маршрут должен пролегать по территории Китая, России и Казахстана, а в реализацию китайские частные и государственные компании вложили более 150 миллиардов рублей. Трассу планировали достроить к 2019 году, но на сайте    , что российский участок находится в стадии разработки предпроектной документации. Несмотря на регулярные обоюдные заявления о намерении нарастить двусторонний товарооборот, в действительности возможности стран и их заинтересованность друг в друге остаются неравными. По итогам 2021 года Китай   уверенное первое место среди направлений российского экспорта — 68,1 миллиарда долларов (рост на 38,4 процента). В обратную сторону показатели куда скромнее: на Россию в прошлом году   всего 2,4 процента всей внешней торговли Китая (67,5 миллиарда долларов) — в пять раз меньше, чем на США. Позиции последних не смогли нарушить даже несколько лет торговой войны. Москва не входит и в первую десятку торговых партнеров Пекина. Дополнительная важность Китая для России проявляется в возможности наладить торговлю без использования мировых резервных валют, преимущественно доллара и евро. Частичный переход на юань в двусторонних сделках (его доля в определенные моменты превышала 50 процентов)   одним из немногих примеров успешной дедолларизации, к которой Москва стремится с конца 2010-х. Аналогичный сдвиг наблюдался в последнее время в структуре золотовалютных резервов (ЗВР)  : на момент заморозки Западом своей части активов на юань и номинированные в нем бумаги приходилось 13,1 процента от общих 640 миллиардов долларов. Таким образом, российская экономика к концу февраля зависела от китайской гораздо сильнее, нежели наоборот. Во многом поэтому китайские официальные лица разных уровней с первых дней спецоперации старались придерживаться нейтралитета. Уже 24 февраля официальный представитель МИД КНР   на ежедневном брифинге для прессы активно   США в «проведении блоковой политики для создания конфронтации и разделения на основе идеологии». Китай и Россия, в свою очередь, по словам дипломата, действуют ответственно, «поддерживая международную безопасность и стабильность». Слово «безответственность» в целом часто звучало из уст китайских политиков и чиновников в адрес Вашингтона, его внешней и экономической политики. В дальнейшем Китай не раз говорил о глобальном вреде от санкций и ущерба, который они наносят самым разным странам. Однако прямой поддержки действиям России в соседней стране Пекин тоже не выражал. Напротив, он подчеркивал приверженность территориальной целостности Украины. Все дело в том, что для Китая вопрос границ тоже является болезненным: после окончания гражданской войны в 1949-м он пытается вернуть контроль над мятежным Тайванем, куда перебрался противник коммунистов Чан Кайши со своими соратниками. В такой ситуации китайские власти стараются угодить всем и не навредить двусторонним отношениям ни с Россией, ни с Западом, который несмотря на все идеологические разногласия остается слишком важным партнером в торговле, а заодно источником инвестиций и технологий. На их позицию не способно повлиять положительное отношение к России и ее президенту со стороны населения. В конце февраля речи Владимира Путина   в соцсети Weibo десятки миллионов просмотров и восторженных комментариев. Едва ли не самым красноречивым свидетельством китайской тактики в последние месяцы стало поведение Пекина в  . Его представители  во время голосования по большинству резолюций, осуждающих российскую спецоперацию и призывающих к немедленному выводу войск. Осторожность Си Цзиньпина и других лидеров КНР довольно быстро оформилась в принцип «помогать словом, но не делом». Судя по всему, руководство Коммунистической партии Китая (КПК) решило, что громкие заявления не испортят отношения с США и всем коллективным Западом, зато создадут требуемое ощущение поддержки и солидарности со стороны «лучшего друга», как любят говорить о себе Си и Путин. Не в последнюю очередь сдержанность Пекина была продиктована опасениями попасть под вторичные санкции. США любят   о них правительствам и компаниям по всему миру и тем самым предостерегать их от сотрудничества с провинившимися перед Вашингтоном. Принцип действия прост: к тому, кто помогает обходить санкции или просто ведет бизнес с их фигурантами, применяются такие же ограничения. Позицию Белого дома в личных беседах до Си Цзиньпина   президент США  . После них некоторые политологи и аналитики даже прогнозировали, что Китай публично осудит действия России или вовсе присоединится к санкциям. Этого однако не произошло, и Пекин сохранил свою многовекторную стратегию. Изначально от Китая в России ждали действий сразу по нескольким направлениям. Он должен был выступить поставщиком необходимых товаров, сырья и оборудования (собственного производства), от которых оказалась отрезана Россия, и одновременно рынком сбыта для ее продукции (тоже в основном сырьевой), от которой уже отказался Запад. Яркий пример последнего — российская нефть, попавшая под запрет в США и после долгих споров и торгов все же включенная в шестой санкционный пакет от ЕС. Многие рассчитывали, что Китай поможет обходить санкции, в том числе за счет параллельного импорта (в обход правообладателей) или вовсе пиратской продукции. Дополнительно страна, как ожидалось, могла стать для России новым транспортным коридором, помогая как с экспортом, так и с импортом в ситуации, когда многие крупные логистические компании ушли с российского рынка. Наконец, платежная система UnionPay рассматривалась в качестве почти полноценной замены Visa и Mastercard. В действительности все вышло иначе. Уже в конце марта стало ясно, что продавать нефть и газ на прежнем уровне России будет трудно. Китайским, а вместе с ними и индийским покупателям   партии нефти флагманского российского сорта Urals со скидкой 35 долларов за баррель к цене эталонной североевропейской марки Brent. В самом начале года разрыв между ними не превышал двух долларов за баррель. Однако даже несмотря на выгодные условия, внушительные объемы нефти, которую весь мир сейчас   «токсичной», все равно долгое время оставались невостребованными. Крупнейшим государственным игрокам — Sinopec, CNOOC, PetroChina и Sinochem —   распоряжение соблюдать действующие контракты с Россией, но избегать новых: как долгосрочных, так и сделок на спотовом (с поставкой в течение двух дней) и срочном (с отложенной поставкой) рынках. Правда, в конце мая участники рынка начали   о незаметном наращивании объемов закупок российского сырья китайскими трейдерами. Такой подход дал результат: по итогам последнего месяца весны поставки российской нефти   на 55 процентов год к году. Китайские компании по-прежнему опасаются быть уличенными в поддержке северного соседа, но не могут устоять перед слишком низкой ценой — каждый баррель   на 29 долларов дешевле по сравнению с уровнем до 24 февраля. Похожая, хоть и менее очевидная, тенденция складывается на газовом рынке. По данным «Газпрома», в первом квартале экспорт в дальнее зарубежье   на 27,1 процента, на внутреннем рынке — на 4,3 процента. И все это при сохранившейся на прежнем уровне добыче. О показателях продаж в ближнее зарубежье ничего не говорилось. И хотя компания отчиталась о росте поставок в Китай через газопровод «Сила Сибири», столь внушительное снижение свидетельствует о том, что азиатский партнер способен компенсировать лишь часть общего спада. Нежелание помогать в обходе санкций китайские власти не скрывали с самого начала спецоперации. В апреле такую позицию   директор департамента Европы МИД КНР Ван Лутун: «Мы не будем делать что-либо специально в обход санкций США и Запада в отношении России». Дипломат уточнил, что Пекин намерен и дальше торговать с Москвой, но только официально. В подтверждение его слов один из крупнейших мировых производителей коммуникационного оборудования и лидер в области развития 5G Huawei, более известный обывателям по выпускаемым им смартфонам,   заключать новые контракты с российскими операторами. Компания уже несколько лет сама находится под санкциями США, но продолжает закупать на Западе комплектующие и потому не хочет усугубить свое положение новыми ограничениями. В начале июня стало известно о закрытии сразу нескольких розничных магазинов Huawei. Причина — в истощении запасов на фоне трудностей с новыми поставками и резкое падение спроса. В марте стало известно об   китайских компаний продавать в Россию запчасти и комплектующие для самолетов. Об этом рассказал начальник управления поддержания летной годности воздушных судов   Валерий Кудинов. Высказывания чиновника   ему увольнения из ведомства, чье руководство опровергло слова чиновника и заявило, что подобные вопросы не входят в его компетенцию. То же происходит и с потребительскими товарами. По данным таможенного ведомства Китая за апрель, экспорт смартфонов в Россию   в три раза, планшетов — в пять раз, ноутбуков — сразу в восемь раз. Специалисты предупреждают о возможном дефиците гаджетов, несмотря на сильно просевшие цены: на 23 процента на телефоны, 20 процентов на ноутбуки и более 50 процентов — на планшеты. Судя по всему, говорить о налаживании параллельного импорта западных технологических брендов и в первую очередь   через Китай в обозримом будущем не приходится. Общий объем импорта из Китая в апреле   на 35 процентов по сравнению с аналогичным периодом прошлого года. В денежном выражении потери составили 1,3 миллиарда долларов. Одна из немногих позиций, по которой произошел прирост, — глинозем, или оксид алюминия, в котором нуждаются российские металлурги. Объемы его закупок составили 123,8 тысячи тонн, или 63 миллиона долларов. Правда, цена на треть превышает запросы прежних поставщиков, которыми выступали Украина и Австралия. Отказались поддерживать Россию и китайские банки. В конце февраля они   выдавать аккредитивы для покрытия сделок с российскими сырьевыми экспортерами. Обычно этот инструмент используется, когда контрагенты не слишком хорошо знают и не до конца доверяют друг другу. Схема проста: покупатель открывает счет в банке, зачисляет на него средства для оплаты будущей поставки и получает взамен аккредитив, который передает продавцу. Последний таким образом заручается гарантией банка о том, что деньги будут переведены на его счет, как только товар поступит покупателю. Кредитная организация взимает за свои услуги комиссию. В случаях, когда оплата производится в юанях, получить аккредитив иногда удается, но заявки по сделкам в долларах сразу блокируются. С аналогичными сложностями с первого дня спецоперации сталкивались западные трейдеры, покупающие российскую нефть. Китайские финансовые институты, традиционно щепетильно относящиеся к санкционным рискам, во многом скопировали тактику европейских и американских коллег. Проблемными для российских держателей   и карты китайской платежной системы UnionPay, в которой видели замену ушедшим с рынка западным конкурентам. На сайте системы утверждается, что она поддерживается в 180 странах мира, и россияне начали массово заказывать карты в тех немногих банках, которые их выпускают. За несколько недель число обладателей UnionPay в России выросло в 10 раз — с 50 до 500 тысяч, а стоимость оформления кое-где достигает 50 тысяч рублей. Однако зарубежные онлайн- и офлайн-магазины и сервисы с недоверием относятся к трансакциям, где контрагентом выступает российский банк-эмитент. В интернете появилась масса жалоб на невозможность совершить покупку или обналичить средства в банкомате. Специалисты объясняют, что компании-продавцы зачастую просто не хотят разбираться, находится ли выпустившая карту кредитная организация под санкциями, и блокируют операцию на основании странового кода. По правилам самой системы, она должна вмешиваться в подобных ситуациях и не допускать дискриминации клиентов, но на практике не делает этого, предпочитая не вмешиваться. Правда, некоторые специалисты все еще продолжают рассчитывать на помощь Китая с платежными картами, но уже в другом аспекте. Ожидается, что китайские компании по производству карточных чипов   на российский рынок, если на нем наметится дефицит. Такую позицию разделяют в Центробанке и  , но согласия самих изготовителей пока никто не спрашивал. В целом китайский бизнес (как государственный, так и частный) намерен строго соблюдать санкционные нормы и тщательно изучать партнеров перед проведением любых сделок. Весной компании и госорганы массово   с властями США, чтобы лучше понять суть ограничений. Некоторые американские чиновники опасаются, что таким образом Пекин пытается хитрить и продумывает лучшие пути обхода запретов. Но большинство наблюдателей все же уверены, что собственная репутация добросовестного партнера Китаю дороже поддержки соседа. В Белом доме тоже признают, что свидетельств обхода санкций или оказания соответствующей помощи до сих пор не было. Яркая иллюстрация общего настроя Пекина — недавний   на использование своего воздушного пространства российскими авиакомпаниями. В отличие от ЕС, США и некоторых других стран он распространяется только на грузовые самолеты с двойной регистрацией, которые недавно были переведены из реестра Бермудских островов в российский. Большинство из них таким образом пытались спасти от арестов и конфискации за рубежом по требованию лизингодателей, являющихся собственниками судов. По словам экспертов, в действиях китайских авиационных властей нет враждебности — просто они не хотят рисковать своими отношениями с другими участниками рынка. Некоторую надежду Москве в конце мая дала публикация The Washington Post. По   издания, Си Цзиньпин ищет способы помочь России и поставил соответствующую цель перед своими помощниками. Ключевая задача при этом — избежать западных санкций. «Мы понимаем затруднительное положение [России], но мы не можем игнорировать нашу собственную ситуацию. Китай всегда будет действовать в интересах китайского народа», — приводит газета слова одного из китайских чиновников. Москва в свою очередь дает понять Пекину, что считает нынешний уровень поддержки, выражающийся в основном в антиамериканских высказываниях на высшем уровне, недостаточным. Пока же обе стороны активно обмениваются громкими заявлениями. Замминистра иностранных дел России    , что китайские компании будут наращивать поставки несмотря на все сложности и ограничения, а годовой товарооборот по итогам 2022-го может достичь рекордных 200 миллиардов долларов. Представитель правительства КНР по делам Евразии Ли Хуэй видит большой потенциал для расширения сотрудничества, в том числе в сфере высоких технологий. «Россия и Китай должны не только углублять основные области сотрудничества — экономики, торговли, энергетики, науки и техники, аэрокосмической промышленности, сельского хозяйства, — но и расширять новые области, такие как 5G, ИИ, Big Data, биомедицина, зеленая и низкоуглеродная экономика», —   чиновник в мае. Говорят о рекордном товарообороте и лидеры обеих стран. Си Цзиньпин   в нем признак стрессоустойчивости двусторонних отношений, а Владимир Путин   о «взаимовыгодном и интересном сотрудничестве». По некоторым показателям прогресс действительно есть. В апреле юань   рекорд по обороту торгов на   — 25,2 миллиарда рублей в день. Тогда же на площадке   расчетный фьючерс на китайскую валюту, предназначенный для частных инвесторов. К концу мая ежемесячные объемы торгов выросли до четырех миллиардов долларов (в 12 раз больше, чем в феврале), оттеснив доллар, ставший невостребованным у импортеров. Все это косвенно свидетельствует о действительно укрепившихся российско-китайских торговых связях. Но даже Путин, выступая на Петербургском международном экономическом форуме,  : Москва не ожидает, что Пекин будет ей «во всем подыгрывать или сопровождать». За последние месяцы поводов считать Китай спасителем и связывать с ним большие ожидания и правда не было.",lenta-ru,https://icdn.lenta.ru/images/2022/06/22/19/20220622193525311/detail_1074a003b2e65c95ba8edcf23b2bc89f.jpg,Экономика,2022-06-23 00:01:00,Оказался вдруг.,https://lenta.ru/articles/2022/06/23/china/>
