Патрушев пригрозил Литве жестким ответом на запрет транзита;1
Россия, безусловно, ответит на действия Литвы и ЕС по ограничению транзита в Калининградскую область — Патрушев;1
Патрушев предупредил Литву об ответных мерах за блокаду транзита в Калининград;1
В Минобороны заявили о безумной попытке Украины захватить Змеиный;2
Минобороны сообщило о провале новой попытки захвата острова Змеиный Украиной;2
Средства ПВО России отбили атаку ВСУ на остров Змеиный;2
Первое иностранное судно «Азов Конкорд» вышло из порта Мариуполя;3
Первое иностранное судно покинуло порт Мариуполя;3
Девять резервистов ВСУ сдались в плен под Северодонецком;4
Девять украинских резервистов сдались в плен под Сиротино в пригороде Северодонецка;4
Девять украинских резервистов сдались в плен в пригороде Северодонецка;4
Республиканцы в Техасе хотят вывести штат из состава США;5
Развал США начинается. Техас готовится к независимости;5
Техас может выйти из состава США;5
Минобороны отчиталось об ударе ракетами «Оникс» по военному аэродрому Школьный у Одессы;0
Reuters узнал о возможном включении золота в седьмой пакет санкций ЕС;0
Турчак вручил сыну Медведева партбилет «Единой России»;0
Минобороны Тайваня заявило что 29 военных самолетов НОАК вошли в зону ПВО;0
Глава МВД Латвии Эклонс заявил об усталости республики от беженцев с Украины;0
Американский министр юстиции Гарланд прибыл с необъявленным визитом на Украину;0
Маск, Рубини и Goldman Sachs предупредили о риске рецессии в США;0
Чехия заявила о готовности «сжечь все», чтобы обеспечить людей энергией, если отключат газ;0
Словения отправила на Украину 35 БМП М-80;0
Глава правящей партии Польши «Право и справедливость» Ярослав Качиньский ушел в отставку;0
Cumhuriyet: Турция не увидела преимуществ от членства в НАТО за 70 лет;0
Песков заявил о юридическом казусе по вопросу референдума в Южной Осетии;0
Минобороны Украины: РФ перебросит свои войска в Белоруссию для удара по Украине;0
Два батальона польских наёмников ликвидированы в 15 километрах от Запорожья;0
Замминистра информации ДНР сообщил об активизации боев в районе Авдеевки и Угледара;0
Посольство Финляндии в России сообщило о снятии ограничений на визы для россиян с 1 июля;0
